
01 createUDB       06 uvSort          11 uhex$           D = Defined in
02 unpack          07 usymTabVal      12 uDRPN           U = Used in
03 udecode         08 ubuildSrc       13 ureadInitDB     P = Received as a parameter
04 ulSort          09 udsSort         14 ureadLins
05 udefVars        10 uinstruction    15 ureadVars

unpack total variables: 189 (not including record variables and fields)
      passed as parameters: 27
      unique variables: 117 (so far)

  Variable Name  | 01 | 02 | 03 | 04 | 05 | 06 | 07 | 08 | 09 | 10 | 11 | 12 | 13 | 14 | 15 | Description and Notes
================ | == | == | == | == | == | == | == | == | == | == | == | == | == | == | == | =========================================================
common variables | 65 Variables  21 Parameters                                              | 
076 fileOpen     |    | DU |    |    |    |    |    |    |    |    |    |    |    |    |    | BOOLEAN input file open
077 pPause       |    | DU |    |    |    |    |    |    |    |    |    |    |    |    |    | BOOLEAN page pause on/off
078 skipped      |    | DU |    |    |    |    |    |    |    |    |    |    |    |    |    | BOOLEAN skipped module, not I-Code
079 option       |    | DUP|    |    |    |    |    |    |    |    |    |    |    |    |    | STRING optional parameter passed to unpack (2 characters)
080 part         |    | DU |    |    |    |    |    |    |    |    |    |    |    |    |    | STRING subroutine name (12 characters)
081 fileName     |    | DU |    |    |    |    |    |    |    |    |    |    |    |    |    | STRING file name passed to unpack (29 characters)
082 format       |    | DU |    |    |    |    |    |    |    |    |    |    |    |    |    | STRING output string format (50 characters)
083 file         |    | DU |    |    |    |    |    |    |    |    |    |    |    |    |    | STRING stores infile (80 characters)
084 infile       |    | DUP|    |    |    |    |    |    |    |    |    |    |    |    |    | STRING file path parameter (80 characters)
================ | == | == | == | == | == | == | == | == | == | == | == | == | == | == | == | =========================================================
  Variable Name  | 01 | 02 | 03 | 04 | 05 | 06 | 07 | 08 | 09 | 10 | 11 | 12 | 13 | 14 | 15 | Description and Notes
================ | == | == | == | == | == | == | == | == | == | == | == | == | == | == | == | =========================================================
udecode          | 50 Variables  11 Unique  10 Parameter Variables (Common)                 | 
085 linkVal      |    |    | DU |    |    |    |    |    |    |    |    |    |    |    |    | BYTE link external token (not implemented)
086 recCount     |    |    | DU |    |    |    |    |    |    |    |    |    |    |    |    | INTEGER record count (total records)
                 |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   Passed by udefVars as the constant value 0
087 tInstr       |    |    | DU |    |    |    |    |    |    |    |    |    |    |    |    | INTEGER total instruction count
088 quote        |    |    | DU |    |    |    |    |    |    |    |    |    |    |    |    | INTEGER string literal token value
089 tmpTyp       |    |    | DU |    |    |    |    |    |    |    |    |    |    |    |    | INTEGER used to connect records to fields
090 intOrReal    |    |    | DU |    |    |    |    |    |    |    |    |    |    |    |    | INTEGER used to determine FOR variable type
091 namVar       |    |    | DU |    |    |    |    |    |    |    |    |    |    |    |    | BOOLEAN is a named variable
092 isOn         |    |    | DU |    |    |    |    |    |    |    |    |    |    |    |    | BOOLEAN is an ON statement
093 renum        |    |    | DU |    |    |    |    |    |    |    |    |    |    |    |    | BOOLEAN is renumbering line references
094 potRec       |    |    | DU |    |    |    |    |    |    |    |    |    |    |    |    | BOOLEAN is a potential record variable
095 isField      |    |    | DU |    |    |    |    |    |    |    |    |    |    |    |    | BOOLEAN is a record field variable
096 extRef       |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | BOOLEAN is an external reference
                 |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   RUN statement
                 |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   KILL statement
                 |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   OPEN or CREATE statement
                 |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   CLOSE statement
                 |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   DELETE statement
                 |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   CHAIN statement
                 |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   SHELL statement
================ | == | == | == | == | == | == | == | == | == | == | == | == | == | == | == | =========================================================
  Variable Name  | 01 | 02 | 03 | 04 | 05 | 06 | 07 | 08 | 09 | 10 | 11 | 12 | 13 | 14 | 15 | Description and Notes
================ | == | == | == | == | == | == | == | == | == | == | == | == | == | == | == | =========================================================
ulSort           | 12 Variables (11 Common)  01 Unique  06 Parameter Variables (5 Common)   | 
097 linRefs(300) |    |    |    | DUP|    |    |    |    |    |    |    |    |    |    |    | LNREF Passed by udecode as linRefs
================ | == | == | == | == | == | == | == | == | == | == | == | == | == | == | == | =========================================================
  Variable Name  | 01 | 02 | 03 | 04 | 05 | 06 | 07 | 08 | 09 | 10 | 11 | 12 | 13 | 14 | 15 | Description and Notes
================ | == | == | == | == | == | == | == | == | == | == | == | == | == | == | == | =========================================================
udefVars         | 61 Variables  37 Unique  09 Parameter Variables (Common)                 | 
098 tokenByte    |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | BYTE I-Code token read from DATA statement
099 iToken       |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | BYTE variable type token
100 fRecs        |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | INTEGER current variable file record number
101 iPointer     |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | INTEGER current variable array record number
102 vAddr        |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | INTEGER symbol table offset
103 vSize        |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | INTEGER symbol table entry size
104 dsAddr       |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | INTEGER description area offset
105 dSize        |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | INTEGER data memory variable size
106 dsSize       |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | INTEGER description area entry size
107 dmAddr       |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | INTEGER data memory offset
108 dmSize       |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | INTEGER data memory variable size
109 pAddr        |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | INTEGER parameter offset
110 pSize        |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | INTEGER parameter variable size
111 fAddr        |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | INTEGER field variable offset
112 fSize        |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | INTEGER field variable size
113 element1     |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | INTEGER vector array variable size
114 element2     |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | INTEGER table array variable size
115 element3     |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | INTEGER matrix array variable size
116 strRecLen    |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | INTEGER string/record size
117 recSize      |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | INTEGER record variable size
118 recArraySize |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | INTEGER record array variable size
119 varNum       |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | INTEGER variable name number
120 fldNum       |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | INTEGER field variable name number
121 isSimple     |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | BOOLEAN is a simple variable
122 isParam      |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | BOOLEAN is a parameter variable
123 isString     |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | BOOLEAN is a string variable
124 isRecord     |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | BOOLEAN is a record variable
125 isArray      |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | BOOLEAN is an array variable
126 isArray1     |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | BOOLEAN is a vector array (1 dimension)
127 isArray2     |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | BOOLEAN is a table array (2 dimensions)
128 isArray3     |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | BOOLEAN is a matrix array (3 dimensions)
129 isField      |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | BOOLEAN is a field variable
130 first        |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | BOOLEAN first pass through the variable records
131 numStr       |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | STRING variable name build string (4 characters)
132 strLen       |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | STRING string variable length string (7 characters)
133 tokenString  |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | STRING variable token string (8 characters)
134 arrayStr     |    |    |    |    | DU |    |    |    |    |    |    |    |    |    |    | STRING array variable size string (19 characters)
================ | == | == | == | == | == | == | == | == | == | == | == | == | == | == | == | =========================================================
  Variable Name  | 01 | 02 | 03 | 04 | 05 | 06 | 07 | 08 | 09 | 10 | 11 | 12 | 13 | 14 | 15 | Description and Notes
================ | == | == | == | == | == | == | == | == | == | == | == | == | == | == | == | =========================================================
uvSort           |09 Variables (8 Common)  01 Unique  06 Parameter Variables (5 Common)     | 
135 varRecs(400) |    |    |    |    |    | DUP|    |    |    |    |    |    |    |    |    | VREC Passed by defVars as varRec
================ | == | == | == | == | == | == | == | == | == | == | == | == | == | == | == | =========================================================
  Variable Name  | 01 | 02 | 03 | 04 | 05 | 06 | 07 | 08 | 09 | 10 | 11 | 12 | 13 | 14 | 15 | Description and Notes
================ | == | == | == | == | == | == | == | == | == | == | == | == | == | == | == | =========================================================
usymTabVal       | 21 Variables  03 Unique  06 Parameter Variables (Common)                 | 
136 mCount       |    |    |    |    |    |    | DU |    |    |    |    |    |    |    |    | INTEGER symbol table offset counter
137 VDCnt        |    |    |    |    |    |    | DU |    |    |    |    |    |    |    |    | INTEGER symbol table entry found/NOT(found)
138 vdtCnt       |    |    |    |    |    |    | DU |    |    |    |    |    |    |    |    | INTEGER symbol table entry counter
================ | == | == | == | == | == | == | == | == | == | == | == | == | == | == | == | =========================================================
  Variable Name  | 01 | 02 | 03 | 04 | 05 | 06 | 07 | 08 | 09 | 10 | 11 | 12 | 13 | 14 | 15 | Description and Notes
================ | == | == | == | == | == | == | == | == | == | == | == | == | == | == | == | =========================================================
ubuildSrc        | 50 Variables  19 Unique  10 Parameter Variables (Common)                 | 
139 tmpTyp       |    |    |    |    |    |    |    | DU |    |    |    |    |    |    |    | BYTE temporary variable type token
140 recCnt       |    |    |    |    |    |    |    | DU |    |    |    |    |    |    |    | INTEGER record variable count
141 posVal       |    |    |    |    |    |    |    | DU |    |    |    |    |    |    |    | INTEGER SUBSTR position
142 varCntr      |    |    |    |    |    |    |    | DU |    |    |    |    |    |    |    | INTEGER dimension statement variable counter
143 dsatCnt      |    |    |    |    |    |    |    | DU |    |    |    |    |    |    |    | INTEGER description area entry counter
144 ucCnt        |    |    |    |    |    |    |    | DU |    |    |    |    |    |    |    | INTEGER TYPE with no used fields
